Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.00041783,-0.062352,-0.011079,0,0,0,1.0275,0.00096224,-1.7543E-09,-1.3676E-09,0.0014276,-7.2992E-06,0.0010373,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/body.STL,,body-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R2,5.1195E-12,-0.007935,0.0049359,0,0,0,0.0059458,2.941E-06,-2.483E-16,-3.9623E-15,2.9244E-06,-3.8274E-08,9.8493E-07,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R2.STL,,R2-1,Origin_JR14,Axis_JR14,JR1,continuous,-0.049,0.010409,-0.13257,1.5739,0,0,body,0,1,0,,,,,,,,,,,,
R3,-2.3368E-05,-0.01515,-0.020816,0,0,0,0.15544,5.5826E-05,-8.8929E-07,-1.7363E-21,3.4649E-05,-8.7464E-07,5.6133E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R3.STL,,R3-1,Origin_JR24,Axis_JR24,JR2,continuous,0,-0.0315,0,0,0,0,R2,0,0,1,,,,,,,,,,,,
R4,-3.71560602003829E-05,-0.109884425270415,0.0645015204124353,0,0,0,0.0896499629130446,4.16009895691136E-05,7.61363341609648E-07,-4.44448874012525E-07,3.2411070646171E-05,1.15463620151377E-05,4.57659420239507E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R4.STL,,R4-1,Origin_JR34,Axis_JR34,JR3,continuous,0,0,0,0.5236,0,0,R3,1,0,0,,,,,,,,,,,,
R5,2.35922392732846E-16,-0.0581603167117033,-0.0234974642851387,0,0,0,0.0272654512429997,6.43959167351521E-05,2.27606766001115E-20,4.57758707260766E-20,3.91420033245628E-05,-2.60653220840411E-05,5.28423727848243E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R5.STL,,R5-1,Origin_JR44,Axis_JR44,JR4,continuous,0,-0.13373,0.078366,-1.0472,0,0,R4,1,0,0,,,,,,,,,,,,
R6,-1.94903609577537E-05,0.0144662621171153,-0.0218201673886669,0,0,0,0.15544328108956,5.58260684034127E-05,8.73883694619815E-07,-1.06078061493619E-20,3.46492828581795E-05,8.90044715309909E-07,5.61332220076912E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R6.STL,,R6-1,Origin_JR54,Axis_JR54,JR5,continuous,0,-0.13423,-0.0775,0.5236,0,0,R5,1,0,0,,,,,,,,,,,,
R7,-0.0103682525758409,-0.0291524556567055,0.00946030945951293,0,0,0,0.0293701270577348,5.27259611745445E-05,-2.48306178311266E-16,3.96226789627106E-15,7.6269660952646E-05,-4.07692845377782E-07,2.5034690010458E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/R7.STL,,R7-1,Origin_JR64,Axis_JR64,JR6,continuous,0,0,0,0,0,0,R6,0,0,1,,,,,,,,,,,,
L2,5.11962694460522E-12,-0.00793496897620852,0.00493585010633513,0,0,0,0.00594575048168081,2.94097568011264E-06,-2.48305668347206E-16,-3.96228856303345E-15,2.92441644469775E-06,-3.827449871227E-08,9.84929527953606E-07,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L2.STL,,L2-1,Origin_JL14,Axis_JL14,JL1,continuous,0.049,0.010409,-0.13257,1.5739,0,0,body,0,1,0,,,,,,,,,,,,
L3,1.9490360957948E-05,-0.0151499843579775,-0.0208201673886668,0,0,0,0.15544328108956,5.58260684034127E-05,8.73883694619815E-07,7.37775671905169E-21,3.46492828581794E-05,-8.90044715309545E-07,5.61332220076912E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L3.STL,,L3-1,Origin_JL24,Axis_JL24,JL2,continuous,0,-0.0315,0,0,0,0,L2,0,0,1,,,,,,,,,,,,
L4,3.71560602005702E-05,0.0630194871166001,0.104414323766192,0,0,0,0.0896499629130445,4.16009895691135E-05,5.02197314697276E-07,7.24573527441376E-07,4.36739646160413E-05,-1.25252037868802E-05,3.45030480540803E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L4.STL,,L4-1,Origin_JL34,Axis_JL34,JL3,continuous,0,-0.0057358,0.0091915,2.1817,0,0,L3,1,0,0,,,,,,,,,,,,
