Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.00041783,0.011271,-0.062317,0,0,0,1.0275,0.00096224,1.373E-09,-1.7501E-09,0.0010372,6.0957E-06,0.0014276,0,0,0,0,0,0,package://hanumanURDFv1/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/body.STL,,body-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R2,5.1195E-12,-0.007935,0.0049359,0,0,0,0.0059458,2.941E-06,-2.483E-16,-3.9623E-15,2.9244E-06,-3.8274E-08,9.8493E-07,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R2.STL,,R2-1,Origin_JR14,Axis_JR14,JR1,continuous,-0.049,0.0104088177516317,-0.132568535154512,1.57387978032368,0,0,body,0,1,0,,,,,,,,,,,,
R3,-2.3368E-05,-0.01515,-0.020816,0,0,0,0.15544,5.5826E-05,-8.8929E-07,-1.9579E-21,3.4649E-05,-8.7464E-07,5.6133E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R3.STL,,R3-1,Origin_JR24,Axis_JR24,JR2,continuous,0,-0.0315,0,0,0,0,R2,0,0,1,,,,,,,,,,,,
R4,-3.7156E-05,-0.10988,0.064502,0,0,0,0.08965,4.1601E-05,7.6136E-07,-4.4445E-07,3.2411E-05,1.1546E-05,4.5766E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R4.STL,,R4-1,Origin_JR34,Axis_JR34,JR3,continuous,0,0,0,0.523598775598301,0,0,R3,1,0,0,,,,,,,,,,,,
R5,2.2898E-16,-0.05816,-0.023497,0,0,0,0.027265,6.4396E-05,2.3077E-20,4.9191E-20,3.9142E-05,-2.6065E-05,5.2842E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R5.STL,,R5-1,Origin_JR44,Axis_JR44,JR4,continuous,0,-0.133733937586588,0.0783660254037848,-1.04719755119658,0,0,R4,1,0,0,,,,,,,,,,,,
R6,-1.949E-05,0.014466,-0.02182,0,0,0,0.15544,5.5826E-05,8.7388E-07,-1.0829E-20,3.4649E-05,8.9004E-07,5.6133E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R6.STL,,R6-1,Origin_JR54,Axis_JR54,JR5,continuous,0,-0.134233937586589,-0.0774999999999979,0.523598775598283,0,0,R5,1,0,0,,,,,,,,,,,,
R7,-0.010368,-0.029152,0.0094603,0,0,0,0.02937,5.2726E-05,-2.4831E-16,3.9623E-15,7.627E-05,-4.0769E-07,2.5035E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/R7.STL,,R7-1,Origin_JR64,Axis_JR64,JR6,continuous,0,0,0,0,0,0,R6,0,0,1,,,,,,,,,,,,
L2,5.1196E-12,-0.007935,0.0049359,0,0,0,0.0059458,2.941E-06,-2.4831E-16,-3.9623E-15,2.9244E-06,-3.8274E-08,9.8493E-07,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L2.STL,,L2-1,Origin_JL14,Axis_JL14,JL1,continuous,0.049,0.0104088177516317,-0.132568535154512,1.57387978032368,0,0,body,0,1,0,,,,,,,,,,,,
L3,1.94903609579411E-05,-0.0151499843579775,-0.0208201673886667,0,0,0,0.15544328108956,5.58260684034127E-05,8.73883694619814E-07,7.34053883177235E-21,3.46492828581794E-05,-8.90044715309545E-07,5.61332220076912E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L3.STL,,L3-1,Origin_JL24,Axis_JL24,JL2,continuous,0,-0.0315000000000001,0,0,0,0,L2,0,0,1,,,,,,,,,,,,
L4,3.71560602005702E-05,0.0630194871166002,0.104414323766192,0,0,0,0.0896499629130445,4.16009895691135E-05,5.02197314697277E-07,7.24573527441378E-07,4.36739646160413E-05,-1.25252037868802E-05,3.45030480540803E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L4.STL,,L4-1,Origin_JL34,Axis_JL34,JL3,continuous,0,-0.00573576436351039,0.00919152044288992,2.1816615649929,0,0,L3,1,0,0,,,,,,,,,,,,
L5,4.78783679369599E-16,-0.0183390437380094,0.0599869380999931,0,0,0,0.0272654512429999,6.43959167351525E-05,6.25554376448522E-20,-1.3540095575496E-19,5.72644987666864E-05,2.44798091780557E-05,3.47198773427012E-05,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hanumanURDFv1/meshes/L5.STL,,L5-1,Origin_JL44,Axis_JL44,JL4,continuous,0,0.0789043476344092,0.126968566864793,-1.0471975511966,0,0,L4,1,0,0,,,,,,,,,,,,
